Dozentenplan   WiSe 2013 Vers. 1.20 vom  24.9.2013


39
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-MGÜ,KLC,1060,Mo,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Di,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Do,12:30,15:45
BAI1-PRP1/02,BHM/[Oel],1102,Do,8:15,11:30
BAI1-TSE/02,,1065,Do,16:00,19:00
BAI1-PRP1/04,BHM/[Oel],1101b,Fr,8:15,11:30
BAI1-PRP1/06 Optional,BHM/[Oel],1105,Mi,12:30,15:45
BAI1-MG,KLC,NB 01.10,Mi,8:15,11:30

54
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,1060,Di,12:30,17:45
BAI1-MGÜ,KLC,1060,Mo,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Di,8:15,11:30
BAI1-PRP1/01,BHM/[Oel],1102,Do,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Do,12:30,15:45
BAI1-TSE/02,,1065,Do,16:00,19:00
BAI1-PRP1/03,BHM/[Oel],1101b,Fr,8:15,11:30
BAI1-PRP1/05,BHM/[Oel],1105,Mi,12:30,15:45
BAI1-MG,KLC,NB 01.10,Mi,8:15,11:30
<>
Dozentenplan   WiSe 2013 Vers. 1.20 vom  24.9.2013


39-40
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-DB,ZKN,0360,Mo,14:00,17:15
BAI2-PR2,WND,NB 01.11,Di,12:30,15:45
BAI2-RMP,BRN,1486,Di,8:15,11:30

41
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-PRP2/01,WND/[Oel],1102,Do,12:30,15:45
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-LBP/03,KLC/[Nmn],1101b,Do,12:30,15:45
BAI2-DBP/01,ZKN/[Bro],1101b,Fr,12:30,15:45
BAI2-PRP2/04 optional,WND/[Oel],1102,Mi,8:15,11:30
BAI2-DB,ZKN,0360,Mo,14:00,17:15
BAI2-PR2,WND,NB 01.11,Di,12:30,15:45
BAI2-RMP,BRN,1486,Di,8:15,11:30

42, 48, 51
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-RMPP/03,BRN/[Ben],0709,Di,8:15,11:30
BAI2-LBP/01,KLC/[Nmn],1101b,Do,12:30,15:45
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-DBP/02,ZKN/[Bro],1101b,Fr,12:30,15:45
BAI2-PRP2/02,WND/[Oel],1102,Do,12:30,15:45
BAI2-DB,ZKN,0360,Mo,14:00,17:15
BAI2-PR2,WND,NB 01.11,Di,12:30,15:45

43, 46, 49, 54
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-RMPP/01,BRN/[Ben],0709,Di,8:15,11:30
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-LBP/02,KLC/[Nmn],1101b,Do,12:30,15:45
BAI2-DBP/03,ZKN/[Bro],1101b,Fr,12:30,15:45
BAI2-PRP2/03,WND/[Oel],1102,Do,12:30,15:45
BAI2-DB,ZKN,0360,Mo,14:00,17:15
BAI2-PR2,WND,NB 01.11,Di,12:30,15:45

44, 47, 50
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-PRP2/01,WND/[Oel],1102,Do,12:30,15:45
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-RMPP/02,BRN/[Ben],0709,Di,8:15,11:30
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-LBP/03,KLC/[Nmn],1101b,Do,12:30,15:45
BAI2-DBP/01,ZKN/[Bro],1101b,Fr,12:30,15:45
BAI2-PRP2/04 optional,WND/[Oel],1102,Mi,8:15,11:30
BAI2-DB,ZKN,0360,Mo,14:00,17:15
BAI2-PR2,WND,NB 01.11,Di,12:30,15:45

45
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-RMPP/03,BRN/[Ben],0709,Di,8:15,11:30
BAI2-LBP/01,KLC/[Nmn],1101b,Do,12:30,15:45
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-DBP/02,ZKN/[Bro],1101b,Fr,12:30,15:45
BAI2-PRP2/02,WND/[Oel],1102,Do,12:30,15:45
BAI2-DB,ZKN,0360,Mo,14:00,17:15

55
Name,Dozent,Raum,WT,Anfang,Ende
BAI2-RMP,BRN,Stiftstr.69  R107,Fr,8:15,11:30
BAI2-AF/AFÜ,NEUH,1260,Mi,12:30,17:45
BAI2-RMPP/02,BRN/[Ben],0709,Di,8:15,11:30
BAI2-LB,KLC,NB 01.11,Do,8:15,11:30
BAI2-DB,ZKN,0360,Mo,14:00,17:15
BAI2-PR2,WND,NB 01.11,Di,12:30,15:45
<>
Dozentenplan   WiSe 2013 Vers. 1.20 vom  24.9.2013


39-40
Name,Dozent,Raum,WT,Anfang,Ende
BAI3-SE1,SRS,Stiftstr.69  R107,Mo,12:30,15:45
BAI3-AD,KHL,0360,Di,12:30,15:45
BAI3-BS,FHL,0660,Mi,8:15,11:30
BAI3-GKA,KLC,1281,Mi,12:30,15:45
BAI3-BW2,STF,Stiftstr.69  R106,Do,12:30,15:45

41
Name,Dozent,Raum,WT,Anfang,Ende
BAI3-SE1,SRS,Stiftstr.69  R107,Mo,12:30,15:45
BAI3-AD,KHL,0360,Di,12:30,15:45
BAI3-BS,FHL,0660,Mi,8:15,11:30
BAI3-GKA,KLC,1281,Mi,12:30,15:45
BAI3-BW2,STF,Stiftstr.69  R106,Do,12:30,15:45
BAI3-GKAP/03,KLC/[Nmn],1165,Di,8:15,11:30

42, 45, 48, 51
Name,Dozent,Raum,WT,Anfang,Ende
BAI3-ADP/01,KHL,1101a,Do,8:15,11:30
BAI3-SE1,SRS,Stiftstr.69  R107,Mo,12:30,15:45
BAI3-SEP1/03,SRS/[Kas],1105,Do,8:15,11:30
BAI3-AD,KHL,0360,Di,12:30,15:45
BAI3-BS,FHL,0660,Mi,8:15,11:30
BAI3-GKA,KLC,1281,Mi,12:30,15:45
BAI3-BW2,STF,Stiftstr.69  R106,Do,12:30,15:45
BAI3-BSP/03,FHL/[Slz],0765,Di,8:15,11:30
BAI3-BWP2/02,STF,1101b,Do,8:15,11:30
BAI3-GKAP/01,KLC/[Nmn],1165,Di,8:15,11:30

43, 46, 49, 54
Name,Dozent,Raum,WT,Anfang,Ende
BAI3-ADP/02,KHL,1101a,Do,8:15,11:30
BAI3-SE1,SRS,Stiftstr.69  R107,Mo,12:30,15:45
BAI3-SEP1/01,SRS/[Kas],1105,Do,8:15,11:30
BAI3-AD,KHL,0360,Di,12:30,15:45
BAI3-BS,FHL,0660,Mi,8:15,11:30
BAI3-GKA,KLC,1281,Mi,12:30,15:45
BAI3-BW2,STF,Stiftstr.69  R106,Do,12:30,15:45
BAI3-ADP/04 optional,KHL,1104,Di,8:15,11:30
BAI3-BSP/01,FHL/[Slz],0765,Di,8:15,11:30
BAI3-BWP2/03,STF,1101b,Do,8:15,11:30
BAI3-GKAP/02,KLC/[Nmn],1165,Di,8:15,11:30

44, 47, 50
Name,Dozent,Raum,WT,Anfang,Ende
BAI3-ADP/03,KHL,1101a,Do,8:15,11:30
BAI3-ADP/05 optional,KHL,1104,Di,8:15,11:30
BAI3-SE1,SRS,Stiftstr.69  R107,Mo,12:30,15:45
BAI3-SEP1/02,SRS/[Kas],1105,Do,8:15,11:30
BAI3-AD,KHL,0360,Di,12:30,15:45
BAI3-BS,FHL,0660,Mi,8:15,11:30
BAI3-GKA,KLC,1281,Mi,12:30,15:45
BAI3-BW2,STF,Stiftstr.69  R106,Do,12:30,15:45
BAI3-BSP/02,FHL/[Slz],0765,Di,8:15,11:30
BAI3-BWP2/01,STF,1101b,Do,8:15,11:30
BAI3-GKAP/03,KLC/[Nmn],1165,Di,8:15,11:30

55
Name,Dozent,Raum,WT,Anfang,Ende
BAI3-ADP/03,KHL,1101a,Do,8:15,11:30
BAI3-ADP/05 optional,KHL,1104,Di,8:15,11:30
BAI3-SE1,SRS,Stiftstr.69  R107,Mo,12:30,15:45
BAI3-SEP1/02,SRS/[Kas],1105,Do,8:15,11:30
BAI3-AD,KHL,0360,Di,12:30,15:45
BAI3-BS,FHL,0660,Mi,8:15,11:30
BAI3-GKA,KLC,1281,Mi,12:30,15:45
BAI3-BW2,STF,Stiftstr.69  R106,Do,12:30,15:45
BAI3-BSP/02,FHL/[Slz],0765,Di,8:15,11:30
BAI3-BWP2/01,STF,1101b,Do,8:15,11:30
<>
Dozentenplan   WiSe 2013 Vers. 1.20 vom  24.9.2013


39
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-CI,NTZ,0665,Di,8:15,11:30
GW HRRS TE,HRRS,1201,Sa,9:30,15:00
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW ZOEL,ZOEL,1486,Do,16:30,19:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45

40
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-CI,NTZ,0665,Di,8:15,11:30
GW HRRS TE,HRRS,1201,Sa,9:30,15:00
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW RDTK RS,RDTK,1101c,Sa,9:00,18:00
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45
GW SCHM,Smhl,1486,Mo,16:00,19:00

41
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-CIP/01,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-SE2,KHB,0660,Di,12:30,15:45
GW STAN FK,STAN,1281,Sa,9:00,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW STAN FK,STAN,1001,Do,16:00,19:00
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45
GW SCHM,Smhl,1486,Mo,16:00,19:00

42
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-SEP2/02,KHB,1102,Mo,8:15,11:30
BAI4-CIP/02,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/03 optional,HBN/[Slz],0765,Mo,12:30,15:45
GW HRRS TE,HRRS,1201,Sa,9:30,15:00
GW MATT,MATT,1486,Sa,9:00,15:45
GW WLTP,WLTP,1001,Sa,8:00,16:00
INF-WPP-B4/01,MSL,0701,Mi,8:15,11:30
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
GW BLHA, BLHA,1283,Fr,16:00,19:30
GW GARB,GARB,1486,Do,16:30,19:00
GW RDTK RS,RDTK,1101c,Sa,9:00,18:00
GW WLTP,WLTP,1201,Fr,16:00,21:00
GW ZOEL,ZOEL,1486,Fr,16:30,19:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45
GW BLHA, BLHA,1281,Sa,9:00,15:30
GW SCHM,Smhl,1486,Mo,16:00,19:00
INF-WPP-B4/04,MSL,0701,Mi,12:30,15:45

43
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-SEP2/01,KHB,1102,Mo,8:15,11:30
BAI4-CIP/03 optional,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/02,HBN/[Slz],0765,Mo,12:30,15:45
GW HRRS TE,HRRS,1201,Sa,9:30,15:00
GW WLTP,WLTP,1001,Sa,8:00,16:00
INF-WPP-C3/01,SWR,0761,Fr,12:30,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW WLTP,WLTP,1201,Fr,16:00,21:00
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C1/01,CNZ,1102,Fr,12:30,15:45
INF-WPP-B4/02,MSL,0701,Mi,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45
GW SCHM,Smhl,1486,Mo,16:00,19:00

44
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-SEP2/03 optional,KHB,1102,Mo,8:15,11:30
BAI4-CIP/01,NTZ/[Nmn],1102,Mi,12:30,15:45
INF-WPP-C1/02,CNZ,1102,Fr,8:15,11:30
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/01,HBN/[Slz],0765,Mo,12:30,15:45
GW MATT,MATT,1486,Sa,9:00,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW GARB,GARB,1486,Do,16:30,19:00
GW ZOEL,ZOEL,1486,Fr,16:30,19:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
GW ZOEL,ZOEL,0405,Sa,10:00,14:00
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45
GW SCHM,Smhl,1486,Mo,16:00,19:00
INF-WPP-B4/03,MSL,0701,Mi,12:30,15:45

45
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-SEP2/02,KHB,1102,Mo,8:15,11:30
BAI4-CIP/02,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/03 optional,HBN/[Slz],0765,Mo,12:30,15:45
INF-WPP-B4/01,MSL,0701,Mi,8:15,11:30
BAI4-SE2,KHB,0660,Di,12:30,15:45
GW GARB,GARB,1486,Fr,16:00,21:00
INF-WPP-B3/01,PDB/[Oel],1102,Mi,8:15,11:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
GW GARB,GARB,1486,Sa,10:00,16:15
GW RDTK KT,RDTK,1201,Sa,9:00,18:00
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW HRRS BE,HRRS,1281,Mi,16:15,19:00
GW DANN,Dann,1486,Mi,16:15,17:45
GW SCHM,Smhl,1486,Mo,16:00,19:00
INF-WPP-B4/04,MSL,0701,Mi,12:30,15:45

46
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-SEP2/01,KHB,1102,Mo,8:15,11:30
BAI4-CIP/03 optional,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/02,HBN/[Slz],0765,Mo,12:30,15:45
GW MATT,MATT,1486,Sa,9:00,15:45
INF-WPP-C3/01,SWR,0761,Fr,12:30,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
GW STAN FK,STAN,1281,Sa,9:00,15:45
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW RDTK RS,RDTK,1101c,Sa,9:00,18:00
INF-WPP-B3/01,PDB/[Oel],1102,Mi,8:15,11:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
INF-WPP-C1/01,CNZ,1102,Fr,12:30,15:45
INF-WPP-B4/02,MSL,0701,Mi,12:30,15:45
INF-WP-C1,CNZ,1065,Fr,8:15,11:30
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
GW DANN,Dann,1486,Mi,16:15,17:45
GW SCHM,Smhl,1486,Mo,16:00,19:00

47
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-SEP2/03 optional,KHB,1102,Mo,8:15,11:30
BAI4-CIP/01,NTZ/[Nmn],1102,Mi,12:30,15:45
INF-WPP-C1/02,CNZ,1102,Fr,8:15,11:30
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/01,HBN/[Slz],0765,Mo,12:30,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW GARB,GARB,1486,Fr,16:00,21:00
GW BLHA, BLHA,1283,Fr,16:00,19:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
GW GARB,GARB,1486,Sa,10:00,16:15
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW DANN,Dann,1486,Mi,16:15,17:45
GW BLHA, BLHA,1281,Sa,9:00,15:30
INF-WPP-B4/03,MSL,0701,Mi,12:30,15:45

48
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-SEP2/02,KHB,1102,Mo,8:15,11:30
BAI4-CIP/02,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/03 optional,HBN/[Slz],0765,Mo,12:30,15:45
GW MATT,MATT,1486,Sa,9:00,15:45
INF-WPP-B4/01,MSL,0701,Mi,8:15,11:30
BAI4-SE2,KHB,0660,Di,12:30,15:45
GW ZOEL,ZOEL,1486,Fr,16:30,19:30
INF-WPP-B3/01,PDB/[Oel],1102,Mi,8:15,11:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
GW RDTK KT,RDTK,1201,Sa,9:00,18:00
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
GW DANN,Dann,1486,Mi,16:15,17:45
INF-WPP-B4/04,MSL,0701,Mi,12:30,15:45

49
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-SEP2/01,KHB,1102,Mo,8:15,11:30
BAI4-CIP/03 optional,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/02,HBN/[Slz],0765,Mo,12:30,15:45
INF-WPP-C3/01,SWR,0761,Fr,12:30,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW BLHA, BLHA,1283,Fr,16:00,19:30
INF-WPP-B3/01,PDB/[Oel],1102,Mi,8:15,11:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C1/01,CNZ,1102,Fr,12:30,15:45
INF-WPP-B4/02,MSL,0701,Mi,12:30,15:45
INF-WP-C1,CNZ,1065,Fr,8:15,11:30
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW DANN,Dann,1486,Mi,16:15,17:45
GW BLHA, BLHA,1281,Sa,9:00,15:30

50
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-SEP2/03 optional,KHB,1102,Mo,8:15,11:30
BAI4-CIP/01,NTZ/[Nmn],1102,Mi,12:30,15:45
INF-WPP-C1/02,CNZ,1102,Fr,8:15,11:30
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/01,HBN/[Slz],0765,Mo,12:30,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
GW STAN FK,STAN,1281,Sa,9:00,15:45
INF-WP-B3,PDB,1281,Mi,8:15,11:30
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW ZOEL,ZOEL,1486,Fr,16:30,19:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
GW RDTK KT,RDTK,1201,Sa,9:00,18:00
INF-WP-C1,CNZ,0405,Fr,12:30,15:45
GW ZOEL,ZOEL,0405,Sa,10:00,14:00
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
GW DANN,Dann,1486,Mi,16:15,17:45
INF-WPP-B4/03,MSL,0701,Mi,12:30,15:45

51
Name,Dozent,Raum,WT,Anfang,Ende
INF-WP-B2,SRS,Stiftstr.69  R106,Mi,8:15,11:30
BAI4-SEP2/02,KHB,1102,Mo,8:15,11:30
BAI4-CIP/02,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/03 optional,HBN/[Slz],0765,Mo,12:30,15:45
INF-WPP-B4/01,MSL,0701,Mi,8:15,11:30
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WPP-B3/01,PDB/[Oel],1102,Mi,8:15,11:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
BAI4-RN,HBN,Stiftstr 69 R304a,Do,12:30,15:45
INF-WP-C2,ESS,0662,Fr,8:15,11:30
GW DANN,Dann,1486,Mi,16:15,17:45
INF-WPP-B4/04,MSL,0701,Mi,12:30,15:45

54
Name,Dozent,Raum,WT,Anfang,Ende
INF-WPP-B2/01,SRS,1101a,Mi,8:15,11:30
BAI4-SEP2/01,KHB,1102,Mo,8:15,11:30
BAI4-CIP/03 optional,NTZ/[Nmn],1102,Mi,12:30,15:45
BAI4-CI,NTZ,0665,Di,8:15,11:30
BAI4-RNP/02,HBN/[Slz],0765,Mo,12:30,15:45
INF-WPP-C3/01,SWR,0761,Fr,12:30,15:45
BAI4-SE2,KHB,0660,Di,12:30,15:45
INF-WP-B4,MSL,0460,Mi,8:15,11:30
GW ZOEL,ZOEL,1486,Fr,16:30,19:30
INF-WPP-B3/01,PDB/[Oel],1102,Mi,8:15,11:30
INF-WP-C3,SWR,0861,Fr,8:15,11:30
INF-WPP-C2/01,ESS,1101a,Fr,8:15,11:30
